#Predicted Hamaker constants for Montmorillonite-001-NaCEC108
#Estimated self-vacuum-self Hamaker: 8.953680708442509#Nominal refractive index: 1.3473303227984113
#Name  kT        Joules        kJ/mol    
ALA    -0.591    -2.448E-21    -1.478    
ARG    -0.878    -3.637E-21    -2.195    
LYS    -0.577    -2.390E-21    -1.443    
HID    -0.549    -2.272E-21    -1.371    
HIE    -0.547    -2.264E-21    -1.367    
ASP    -0.320    -1.325E-21    -0.800    
GLU    -0.340    -1.409E-21    -0.850    
SER    -0.316    -1.308E-21    -0.789    
THR    -0.509    -2.109E-21    -1.273    
ASN    -0.371    -1.535E-21    -0.926    
GLN    -0.720    -2.982E-21    -1.800    
CYS    -0.054    -2.254E-22    -0.136    
GLY    -0.213    -8.810E-22    -0.532    
PRO    -0.562    -2.326E-21    -1.404    
VAL    -0.628    -2.602E-21    -1.571    
ILE    -0.847    -3.507E-21    -2.117    
LEU    -0.634    -2.624E-21    -1.584    
MET    -0.638    -2.642E-21    -1.595    
PHE    -0.684    -2.834E-21    -1.710    
TYR    -0.760    -3.150E-21    -1.901    
TRP    -0.795    -3.294E-21    -1.988    
HIP    -0.648    -2.683E-21    -1.619    
ETA    0.389     1.611E-21     0.972     
PHO    -0.732    -3.032E-21    -1.830    
CHL    0.279     1.154E-21     0.697     
DGL    -0.491    -2.035E-21    -1.229    
EST    -0.507    -2.102E-21    -1.269    
CYM    -0.331    -1.371E-21    -0.827    
GAN    -0.573    -2.374E-21    -1.433    
MAN    -0.314    -1.302E-21    -0.786    
FUC    -0.388    -1.609E-21    -0.971    
BGL    -0.201    -8.323E-22    -0.502    
NGL    -0.610    -2.526E-21    -1.525    
NGA    -0.500    -2.071E-21    -1.250    
NC4    0.278     1.153E-21     0.696     
MAS    -0.508    -2.102E-21    -1.269    
PRA    -0.573    -2.374E-21    -1.433    
DMP    -0.750    -3.107E-21    -1.876    
MMM    0.389     1.610E-21     0.972     
BTE    -0.572    -2.369E-21    -1.430    
PAS    -0.382    -1.583E-21    -0.956    
PGL    -0.385    -1.595E-21    -0.963    
HMA    -0.443    -1.837E-21    -1.109    
HMB    -0.456    -1.888E-21    -1.139    
HMC    -0.544    -2.252E-21    -1.359    
HMD    -0.506    -2.097E-21    -1.266    
HFE    -0.891    -3.690E-21    -2.227    
HIS    -0.574    -2.376E-21    -1.434    
HAF    -0.574    -2.376E-21    -1.434    
HAS    -0.470    -1.945E-21    -1.174    
X00    -0.239    -9.885E-22    -0.597    
X01    -0.831    -3.443E-21    -2.078    
X02    -0.275    -1.139E-21    -0.687    
X03    -0.354    -1.466E-21    -0.885    
X04    -0.248    -1.028E-21    -0.621    
X05    -0.596    -2.469E-21    -1.490    
X06    -0.676    -2.801E-21    -1.691    
X07    -0.568    -2.351E-21    -1.419    
X08    -0.503    -2.084E-21    -1.258    
X09    -0.493    -2.042E-21    -1.232    
X0A    -0.180    -7.462E-22    -0.450    
X0B    -0.738    -3.057E-21    -1.845    
X0C    -0.627    -2.596E-21    -1.567    
X0D    -0.506    -2.095E-21    -1.264    
X0E    -0.151    -6.255E-22    -0.378    
X0F    -0.440    -1.821E-21    -1.099    
X0G    -0.631    -2.612E-21    -1.576    
X0H    -0.678    -2.810E-21    -1.696    
X0I    -0.358    -1.484E-21    -0.896    
X0J    -0.607    -2.513E-21    -1.517    
X0K    0.274     1.135E-21     0.685     
X0L    0.215     8.926E-22     0.539     
X0M    -0.625    -2.591E-21    -1.564    
X0N    -0.544    -2.255E-21    -1.361    
X0O    -0.701    -2.902E-21    -1.752    
X0P    -0.405    -1.676E-21    -1.012    
X0Q    0.096     3.980E-22     0.240     
X0R    -0.625    -2.591E-21    -1.564    
X0S    0.274     1.135E-21     0.685     
X0T    -0.544    -2.255E-21    -1.361    
X0U    -0.607    -2.513E-21    -1.517    
X0V    0.215     8.926E-22     0.539     
X0W    -0.409    -1.693E-21    -1.022    
X0X    -0.564    -2.335E-21    -1.409    
X0Y    -0.695    -2.879E-21    -1.738    
X0Z    -0.695    -2.879E-21    -1.738    
X10    -0.312    -1.290E-21    -0.779    
X11    -0.668    -2.765E-21    -1.669    
X12    -0.726    -3.007E-21    -1.815    
