#Predicted Hamaker constants for CdSeWurtzite2-10
#Estimated self-vacuum-self Hamaker: 8.542642268981986#Nominal refractive index: 1.338379470668557
#Name  kT        Joules        kJ/mol    
ALA    -0.675    -2.798E-21    -1.689    
ARG    -0.783    -3.245E-21    -1.958    
LYS    -0.670    -2.776E-21    -1.676    
HID    -0.659    -2.731E-21    -1.649    
HIE    -0.659    -2.728E-21    -1.647    
ASP    -0.574    -2.375E-21    -1.434    
GLU    -0.581    -2.407E-21    -1.453    
SER    -0.572    -2.369E-21    -1.430    
THR    -0.645    -2.670E-21    -1.612    
ASN    -0.593    -2.454E-21    -1.481    
GLN    -0.724    -2.998E-21    -1.810    
CYS    -0.474    -1.962E-21    -1.184    
GLY    -0.533    -2.209E-21    -1.333    
PRO    -0.664    -2.752E-21    -1.661    
VAL    -0.689    -2.856E-21    -1.724    
ILE    -0.772    -3.196E-21    -1.929    
LEU    -0.691    -2.864E-21    -1.729    
MET    -0.693    -2.871E-21    -1.733    
PHE    -0.710    -2.943E-21    -1.776    
TYR    -0.739    -3.061E-21    -1.848    
TRP    -0.752    -3.116E-21    -1.881    
HIP    -0.697    -2.886E-21    -1.742    
ETA    -0.307    -1.272E-21    -0.768    
PHO    -0.728    -3.017E-21    -1.821    
CHL    -0.349    -1.444E-21    -0.871    
DGL    -0.638    -2.642E-21    -1.595    
EST    -0.644    -2.667E-21    -1.610    
CYM    -0.578    -2.393E-21    -1.444    
GAN    -0.669    -2.770E-21    -1.672    
MAN    -0.571    -2.367E-21    -1.428    
FUC    -0.599    -2.482E-21    -1.498    
BGL    -0.529    -2.190E-21    -1.322    
NGL    -0.683    -2.827E-21    -1.706    
NGA    -0.641    -2.656E-21    -1.603    
NC4    -0.349    -1.444E-21    -0.872    
MAS    -0.644    -2.668E-21    -1.610    
PRA    -0.669    -2.770E-21    -1.672    
DMP    -0.735    -3.046E-21    -1.838    
MMM    -0.307    -1.273E-21    -0.768    
BTE    -0.668    -2.768E-21    -1.671    
PAS    -0.597    -2.472E-21    -1.492    
PGL    -0.598    -2.477E-21    -1.495    
HMA    -0.620    -2.568E-21    -1.550    
HMB    -0.625    -2.587E-21    -1.561    
HMC    -0.658    -2.724E-21    -1.644    
HMD    -0.644    -2.666E-21    -1.609    
HFE    -0.788    -3.265E-21    -1.970    
PBB    0.000     0.000E+00     0.000     
NXX    0.000     0.000E+00     0.000     
HIS    -0.669    -2.770E-21    -1.672    
HAF    -0.669    -2.770E-21    -1.672    
HAS    -0.630    -2.608E-21    -1.574    
X00    -0.543    -2.249E-21    -1.357    
X01    -0.766    -3.172E-21    -1.914    
X02    -0.557    -2.305E-21    -1.391    
X03    -0.586    -2.429E-21    -1.466    
X04    -0.547    -2.264E-21    -1.366    
X05    -0.677    -2.805E-21    -1.693    
X06    -0.707    -2.930E-21    -1.769    
X07    -0.667    -2.761E-21    -1.667    
X08    -0.642    -2.661E-21    -1.606    
X09    -0.639    -2.645E-21    -1.596    
X0A    -0.521    -2.158E-21    -1.302    
X0B    -0.731    -3.026E-21    -1.827    
X0C    -0.689    -2.853E-21    -1.722    
X0D    -0.643    -2.665E-21    -1.608    
X0E    -0.510    -2.113E-21    -1.275    
X0F    -0.618    -2.562E-21    -1.546    
X0G    -0.690    -2.859E-21    -1.726    
X0H    -0.708    -2.934E-21    -1.771    
X0I    -0.588    -2.435E-21    -1.470    
X0J    -0.681    -2.822E-21    -1.703    
X0K    -0.350    -1.451E-21    -0.876    
