#Predicted Hamaker constants for ZnO1m210BOND
#Estimated self-vacuum-self Hamaker: 41.11897077668575#Nominal refractive index: 1.8633869970990857
#Name  kT        Joules        kJ/mol    
ALA    3.757     1.556E-20     9.392     
ARG    -5.730    -2.373E-20    -14.325   
LYS    4.218     1.747E-20     10.546    
HID    5.169     2.141E-20     12.922    
HIE    5.234     2.168E-20     13.084    
ASP    12.817    5.309E-20     32.041    
GLU    12.134    5.026E-20     30.335    
SER    12.958    5.367E-20     32.395    
THR    6.478     2.683E-20     16.196    
ASN    11.117    4.605E-20     27.792    
GLN    -0.513    -2.126E-21    -1.283    
CYS    21.801    9.030E-20     54.504    
GLY    16.429    6.805E-20     41.073    
PRO    4.736     1.961E-20     11.839    
VAL    2.519     1.043E-20     6.296     
ILE    -4.694    -1.944E-20    -11.735   
LEU    2.343     9.704E-21     5.857     
MET    2.199     9.109E-21     5.498     
PHE    0.667     2.764E-21     1.668     
TYR    -1.852    -7.672E-21    -4.631    
TRP    -3.000    -1.243E-20    -7.500    
HIP    1.877     7.775E-21     4.693     
ETA    37.127    1.538E-19     92.817    
PHO    -0.917    -3.799E-21    -2.293    
CHL    33.269    1.378E-19     83.172    
DGL    7.073     2.930E-20     17.682    
EST    6.538     2.708E-20     16.346    
CYM    12.447    5.155E-20     31.117    
GAN    4.350     1.802E-20     10.875    
MAN    13.006    5.387E-20     32.516    
FUC    10.514    4.355E-20     26.286    
BGL    16.827    6.970E-20     42.068    
NGL    3.129     1.296E-20     7.823     
NGA    6.785     2.810E-20     16.963    
NC4    33.263    1.378E-19     83.158    
MAS    6.533     2.706E-20     16.331    
PRA    4.350     1.802E-20     10.875    
DMP    -1.517    -6.284E-21    -3.793    
MMM    37.116    1.537E-19     92.791    
BTE    4.388     1.818E-20     10.970    
PAS    10.724    4.442E-20     26.810    
PGL    10.628    4.402E-20     26.570    
HMA    8.675     3.593E-20     21.688    
HMB    8.264     3.423E-20     20.659    
HMC    5.330     2.208E-20     13.324    
HMD    6.576     2.724E-20     16.441    
HFE    -6.150    -2.547E-20    -15.376   
PBB    0.000     0.000E+00     0.000     
NXX    0.000     0.000E+00     0.000     
HIS    4.336     1.796E-20     10.840    
HAF    4.336     1.796E-20     10.840    
HAS    7.802     3.231E-20     19.505    
X00    15.553    6.442E-20     38.882    
X01    -4.188    -1.734E-20    -10.469   
X02    14.331    5.936E-20     35.827    
X03    11.671    4.834E-20     29.179    
X04    15.228    6.307E-20     38.070    
X05    3.590     1.487E-20     8.974     
X06    0.928     3.845E-21     2.321     
X07    4.531     1.877E-20     11.327    
X08    6.685     2.769E-20     16.712    
X09    7.022     2.908E-20     17.554    
X0A    17.531    7.261E-20     43.826    
X0B    -1.112    -4.605E-21    -2.780    
X0C    2.569     1.064E-20     6.422     
X0D    6.596     2.732E-20     16.490    
X0E    18.517    7.670E-20     46.293    
X0F    8.804     3.647E-20     22.011    
X0G    2.445     1.013E-20     6.114     
X0H    0.857     3.549E-21     2.142     
X0I    11.529    4.775E-20     28.822    
X0J    3.231     1.338E-20     8.078     
X0K    33.111    1.371E-19     82.777    
X0L    31.076    1.287E-19     77.691    
X0M    2.614     1.083E-20     6.534     
X0N    5.305     2.197E-20     13.261    
X0O    0.119     4.918E-22     0.297     
X0P    9.971     4.130E-20     24.927    
X0Q    26.954    1.116E-19     67.384    
X0R    2.614     1.083E-20     6.534     
X0S    33.111    1.371E-19     82.777    
X0T    5.305     2.197E-20     13.261    
X0U    3.231     1.338E-20     8.078     
X0V    31.076    1.287E-19     77.691    
X0W    9.833     4.073E-20     24.583    
X0X    4.663     1.931E-20     11.657    
X0Y    0.306     1.267E-21     0.764     
X0Z    0.306     1.267E-21     0.764     
X10    13.097    5.425E-20     32.742    
X11    1.218     5.047E-21     3.046     
