# #Autogenerated fromHID,HIE,HIP at pH: 7.4
# #h[nm],U[kJ/mol]
  0.078000,259.644152
  0.079000,258.084648
  0.080000,256.525145
  0.081000,255.037373
  0.082000,253.549602
  0.083000,252.136213
  0.084000,250.722824
  0.085000,249.282863
  0.086000,247.842902
  0.087000,246.396484
  0.088000,244.950065
  0.089000,243.471029
  0.090000,241.991994
  0.091000,240.486613
  0.092000,238.981233
  0.093000,237.437218
  0.094000,235.893203
  0.095000,234.305296
  0.096000,232.717389
  0.097000,231.081362
  0.098000,229.445336
  0.099000,227.759828
  0.100000,226.074321
  0.101000,224.336337
  0.102000,222.598353
  0.103000,220.807054
  0.104000,219.015755
  0.105000,217.171939
  0.106000,215.328124
  0.107000,213.429730
  0.108000,211.531335
  0.109000,209.582171
  0.110000,207.633007
  0.111000,205.636065
  0.112000,203.639123
  0.113000,201.597228
  0.114000,199.555334
  0.115000,197.472275
  0.116000,195.389217
  0.117000,193.269675
  0.118000,191.150134
  0.119000,189.003245
  0.120000,186.856357
  0.121000,184.686931
  0.122000,182.517506
  0.123000,180.333194
  0.124000,178.148883
  0.125000,175.955980
  0.126000,173.763077
  0.127000,171.573498
  0.128000,169.383920
  0.129000,167.214849
  0.130000,165.045778
  0.131000,162.920083
  0.132000,160.794389
  0.133000,158.728994
  0.134000,156.663600
  0.135000,154.668564
  0.136000,152.673528
  0.137000,150.747952
  0.138000,148.822376
  0.139000,146.960496
  0.140000,145.098616
  0.141000,143.291181
  0.142000,141.483747
  0.143000,139.718371
  0.144000,137.952996
  0.145000,136.215413
  0.146000,134.477829
  0.147000,132.758775
  0.148000,131.039720
  0.149000,129.335195
  0.150000,127.630670
  0.151000,125.939132
  0.152000,124.247593
  0.153000,122.580381
  0.154000,120.913169
  0.155000,119.275204
  0.156000,117.637238
  0.157000,116.030132
  0.158000,114.423025
  0.159000,112.840573
  0.160000,111.258121
  0.161000,109.693092
  0.162000,108.128062
  0.163000,106.573104
  0.164000,105.018147
  0.165000,103.465139
  0.166000,101.912132
  0.167000,100.364493
  0.168000, 98.816854
  0.169000, 97.273863
  0.170000, 95.730872
  0.171000, 94.199000
  0.172000, 92.667128
  0.173000, 91.151153
  0.174000, 89.635177
  0.175000, 88.140380
  0.176000, 86.645583
  0.177000, 85.177812
  0.178000, 83.710040
  0.179000, 82.269572
  0.180000, 80.829103
  0.181000, 79.417688
  0.182000, 78.006273
  0.183000, 76.617317
  0.184000, 75.228361
  0.185000, 73.851725
  0.186000, 72.475089
  0.187000, 71.102807
  0.188000, 69.730524
  0.189000, 68.353871
  0.190000, 66.977218
  0.191000, 65.600876
  0.192000, 64.224534
  0.193000, 62.854413
  0.194000, 61.484292
  0.195000, 60.137177
  0.196000, 58.790063
  0.197000, 57.490469
  0.198000, 56.190875
  0.199000, 54.944718
  0.200000, 53.698560
  0.201000, 52.510969
  0.202000, 51.323377
  0.203000, 50.183696
  0.204000, 49.044016
  0.205000, 47.935973
  0.206000, 46.827931
  0.207000, 45.736150
  0.208000, 44.644369
  0.209000, 43.557339
  0.210000, 42.470309
  0.211000, 41.381350
  0.212000, 40.292391
  0.213000, 39.203969
  0.214000, 38.115547
  0.215000, 37.032839
  0.216000, 35.950131
  0.217000, 34.880302
  0.218000, 33.810473
  0.219000, 32.760419
  0.220000, 31.710365
  0.221000, 30.692144
  0.222000, 29.673923
  0.223000, 28.694380
  0.224000, 27.714837
  0.225000, 26.769815
  0.226000, 25.824794
  0.227000, 24.914842
  0.228000, 24.004890
  0.229000, 23.124921
  0.230000, 22.244952
  0.231000, 21.390749
  0.232000, 20.536547
  0.233000, 19.701870
  0.234000, 18.867192
  0.235000, 18.052887
  0.236000, 17.238582
  0.237000, 16.442563
  0.238000, 15.646545
  0.239000, 14.870223
  0.240000, 14.093902
  0.241000, 13.340203
  0.242000, 12.586504
  0.243000, 11.853336
  0.244000, 11.120168
  0.245000, 10.408918
  0.246000,  9.697667
  0.247000,  9.007617
  0.248000,  8.317567
  0.249000,  7.652765
  0.250000,  6.987963
  0.251000,  6.346991
  0.252000,  5.706019
  0.253000,  5.089155
  0.254000,  4.472291
  0.255000,  3.877870
  0.256000,  3.283450
  0.257000,  2.715374
  0.258000,  2.147299
  0.259000,  1.601977
  0.260000,  1.056656
  0.261000,  0.533870
  0.262000,  0.011084
  0.263000, -0.492007
  0.264000, -0.995098
  0.265000, -1.483131
  0.266000, -1.971165
  0.267000, -2.444660
  0.268000, -2.918156
  0.269000, -3.373711
  0.270000, -3.829266
  0.271000, -4.266161
  0.272000, -4.703056
  0.273000, -5.117885
  0.274000, -5.532715
  0.275000, -5.921426
  0.276000, -6.310137
  0.277000, -6.669701
  0.278000, -7.029264
  0.279000, -7.360822
  0.280000, -7.692381
  0.281000, -8.001515
  0.282000, -8.310648
  0.283000, -8.603202
  0.284000, -8.895756
  0.285000, -9.171220
  0.286000, -9.446684
  0.287000, -9.715575
  0.288000, -9.984465
  0.289000,-10.248724
  0.290000,-10.512983
  0.291000,-10.771325
  0.292000,-11.029667
  0.293000,-11.281528
  0.294000,-11.533389
  0.295000,-11.770667
  0.296000,-12.007945
  0.297000,-12.228678
  0.298000,-12.449411
  0.299000,-12.644976
  0.300000,-12.840541
  0.301000,-13.012870
  0.302000,-13.185198
  0.303000,-13.331164
  0.304000,-13.477129
  0.305000,-13.598480
  0.306000,-13.719831
  0.307000,-13.823920
  0.308000,-13.928008
  0.309000,-14.014201
  0.310000,-14.100395
  0.311000,-14.181114
  0.312000,-14.261833
  0.313000,-14.335778
  0.314000,-14.409723
  0.315000,-14.479676
  0.316000,-14.549629
  0.317000,-14.619674
  0.318000,-14.689718
  0.319000,-14.756781
  0.320000,-14.823844
  0.321000,-14.888414
  0.322000,-14.952985
  0.323000,-15.014373
  0.324000,-15.075761
  0.325000,-15.132447
  0.326000,-15.189132
  0.327000,-15.237998
  0.328000,-15.286864
  0.329000,-15.327624
  0.330000,-15.368384
  0.331000,-15.397129
  0.332000,-15.425874
  0.333000,-15.443795
  0.334000,-15.461716
  0.335000,-15.463919
  0.336000,-15.466122
