#Name  kT        Joules        kJ/mol    
ALA    7.869     3.259E-20     19.672    
ARG    9.466     3.921E-20     23.666    
ASN    10.197    4.223E-20     25.492    
ASP    10.439    4.324E-20     26.096    
CYS    10.035    4.157E-20     25.088    
GLN    9.629     3.988E-20     24.073    
GLU    9.221     3.819E-20     23.052    
GLY    10.035    4.157E-20     25.088    
HIS    10.439    4.324E-20     26.096    
ILE    6.802     2.817E-20     17.004    
LEU    6.717     2.782E-20     16.792    
LYS    8.119     3.363E-20     20.298    
MET    8.975     3.717E-20     22.436    
PHE    9.954     4.123E-20     24.886    
PRO    7.590     3.144E-20     18.974    
SER    9.792     4.056E-20     24.480    
THR    8.202     3.397E-20     20.506    
TRP    11.869    4.916E-20     29.673    
TYR    8.892     3.683E-20     22.231    
VAL    6.887     2.852E-20     17.216    
CHL    1.412     5.849E-21     3.530     
PHO    2.195     9.092E-21     5.488     
EST    0.531     2.199E-21     1.327     
CYM    10.035    4.157E-20     25.088    
DGL    4.269     1.768E-20     10.673    
ETA    3.387     1.403E-20     8.466     
HID    10.439    4.324E-20     26.096    
HIE    10.439    4.324E-20     26.096    
HIP    10.439    4.324E-20     26.096    
GAN    9.221     3.819E-20     23.052   
