#Name  kT        Joules        kJ/mol    
GLY    1.535     6.358E-21     3.838     
ALA    4.434     1.836E-20     11.084    
ARG    5.321     2.204E-20     13.303    
ASN    5.724     2.371E-20     14.310    
ASP    1.992     8.251E-21     4.980     
CYS    5.635     2.334E-20     14.088    
GLN    5.411     2.241E-20     13.528    
GLU    5.185     2.148E-20     12.964    
HIS    4.573     1.894E-20     11.433    
ILE    3.837     1.589E-20     9.592     
LEU    3.789     1.569E-20     9.473     
LYS    4.573     1.894E-20     11.433    
MET    5.049     2.091E-20     12.623    
PHE    5.590     2.316E-20     13.976    
PRO    4.278     1.772E-20     10.694    
SER    5.501     2.279E-20     13.753    
THR    4.620     1.913E-20     11.549    
TRP    6.636     2.749E-20     16.591    
TYR    5.003     2.072E-20     12.508    
VAL    3.884     1.609E-20     9.711     
DGL    2.417     1.001E-20     6.043     
ETA    1.927     7.980E-21     4.817     
CHL    0.861     3.566E-21     2.152     
PHO    1.276     5.284E-21     3.189     
EST    0.419     1.737E-21     1.048     
CYM    5.635     2.334E-20     14.088    
HID    4.573     1.894E-20     11.433    
HIE    4.573     1.894E-20     11.433    
HIP    4.573     1.894E-20     11.433    
ASPP   1.992     8.251E-21     4.980     
GLUP   5.185     2.148E-20     12.964    
BGLC   2.417     1.001E-20     6.043     
AMAN   3.916     1.622E-20     9.790     
AFUC   4.231     1.752E-20     10.577    
BGLCNA 3.963     1.642E-20     9.908     
BGALNA 3.422     1.417E-20     8.555     
NC4    0.861     3.566E-21     2.152     
MAS    0.419     1.737E-21     1.048     
DMEP   1.276     5.284E-21     3.189     
MAMM   1.927     7.980E-21     4.817     
