#Name  kT        Joules        kJ/mol    
ALA    71.161    2.947E-19     177.903   
ARG    72.818    3.016E-19     182.044   
ASN    73.556    3.047E-19     183.890   
ASP    73.798    3.057E-19     184.495   
CYS    73.394    3.040E-19     183.485   
GLN    72.984    3.023E-19     182.459   
GLU    72.567    3.006E-19     181.418   
GLY    73.394    3.040E-19     183.485   
HIS    73.798    3.057E-19     184.495   
ILE    70.020    2.900E-19     175.051   
LEU    69.928    2.896E-19     174.821   
LYS    71.425    2.958E-19     178.562   
MET    72.314    2.995E-19     180.785   
PHE    73.312    3.037E-19     183.281   
PRO    70.865    2.935E-19     177.163   
SER    73.148    3.030E-19     182.871   
THR    71.512    2.962E-19     178.780   
TRP    75.204    3.115E-19     188.009   
TYR    72.229    2.992E-19     180.573   
VAL    70.112    2.904E-19     175.280   
CHL    63.778    2.642E-19     159.445   
PHO    64.740    2.681E-19     161.850   
EST    62.670    2.596E-19     156.676   
