#Name  kT        Joules        kJ/mol    
ALA    6.933     2.872E-20     17.332    
ARG    8.348     3.458E-20     20.869    
ASN    8.995     3.726E-20     22.487    
ASP    9.209     3.814E-20     23.022    
CYS    8.852     3.666E-20     22.129    
GLN    8.492     3.517E-20     21.230    
GLU    8.130     3.367E-20     20.326    
GLY    8.852     3.666E-20     22.129    
HIS    9.209     3.814E-20     23.022    
ILE    5.988     2.480E-20     14.971    
LEU    5.913     2.449E-20     14.783    
LYS    7.155     2.963E-20     17.887    
MET    7.912     3.277E-20     19.780    
PHE    8.780     3.637E-20     21.950    
PRO    6.686     2.769E-20     16.714    
SER    8.636     3.577E-20     21.590    
THR    7.228     2.994E-20     18.071    
TRP    10.477    4.339E-20     26.192    
TYR    7.839     3.247E-20     19.598    
VAL    6.063     2.511E-20     15.158    
CHL    1.221     5.056E-21     3.052     
PHO    1.913     7.924E-21     4.783     
EST    0.442     1.830E-21     1.104     
CYM    8.852     3.666E-20     22.129    
DGL    3.747     1.552E-20     9.368     
ETA    2.967     1.229E-20     7.417     
HID    9.209     3.814E-20     23.022    
HIE    9.209     3.814E-20     23.022    
HIP    9.209     3.814E-20     23.022    
GAN    8.130     3.367E-20     20.326
